artist,artist_href,life,num_artworks
Noma Bar,/en/noma-bar,born 1973,27
Miklos Barabas,/en/miklos-barabas,1810 - 1898,34
Amir Baradaran,/en/amir-baradaran,born 1977,13
Eleonora Brigalda Barbas,/en/eleonora-brigalda-barbas,born 1959,8
Marcel Barbeau,/en/marcel-barbeau,born 1925,16
Giuseppe Barberis,/en/giuseppe-barberis,c.1840 - c.1917,200
George Barbier,/en/george-barbier,1882 - 1932,21
Thomas Jones Barker,/en/thomas-jones-barker,1815 - 1882,38
Phyllida Barlow,/en/phyllida-barlow,born 1944,10
Will Barnet,/en/will-barnet,born 1911,181
Matthew Barney,/en/matthew-barney,born 1967,12
Jill Baroff,/en/jill-baroff,born 1954,10
Hannelore Baron,/en/hannelore-baron,1926 - 1987,17
François Barraud,/en/fran-ois-barraud,1899 - 1934,16
Martin Barre,/en/martin-barre,1924 - 1993,21
James Barry,/en/james-barry,1741 - 1806,19
Robert Barry,/en/robert-barry,born 1936,18
Harriet Bart,/en/harriet-bart,born 1941,15
Jennifer Bartlett,/en/jennifer-bartlett,born 1941,22
Luciano Bartolini,/en/luciano-bartolini,1948 - 1994,45
Endre Bartos,/en/endre-bartos,1930 - 2006,50
Gianfranco Baruchello,/en/gianfranco-baruchello,born 1924,13
Georg Baselitz,/en/georg-baselitz,born 1938,34
Marie Bashkirtseff,/en/marie-bashkirtseff,1858 - 1884,28
Jean-Michel Basquiat,/en/jean-michel-basquiat,1960 - 1988,156
Jacopo Bassano,/en/jacopo-bassano,c.1510 - 1592,40
Jules Bastien-Lepage,/en/jules-bastien-lepage,1848 - 1884,47
David Batchelor,/en/david-batchelor,born 1955,14
Robert Bateman,/en/robert-bateman,1842 - 1922,8
David Bates,/en/david-bates,1840 - 1921,36
Pompeo Batoni,/en/pompeo-batoni,1708 - 1787,175
Walter Battiss,/en/walter-battiss,1906 - 1982,154
Andre Bauchant,/en/andre-bauchant,1873 - 1958,26
John Bauer,/en/john-bauer,1882 - 1918,52
Rudolf Bauer,/en/rudolf-bauer,1889 - 1953,13
Gustav Bauernfeind,/en/gustav-bauernfeind,1848 - 1904,23
Willi Baumeister,/en/willi-baumeister,1889 - 1955,83
Lothar Baumgarten,/en/lothar-baumgarten,born 1944,11
Iain Baxter&,/en/iain-baxter,born 1936,10
Émile Bayard,/en/emile-bayard,1837 - 1891,58
Francisco Bayeu y Subias,/en/francisco-bayeu-y-subias,1734 - 1795,16
Jean Rene Bazaine,/en/jean-rene-bazaine,1904 - 2001,31
Frederic Bazille,/en/frederic-bazille,1841 - 1870,48
William Baziotes,/en/william-baziotes,1912 - 1963,34
Achraf Baznani,/en/achraf-baznani,born 1979,20
Mary Beale,/en/mary-beale,1633 - 1699,27
William Holbrook Beard,/en/william-holbrook-beard,1824 - 1900,37
Romare Bearden,/en/romare-bearden,1911 - 1988,41
Aubrey Beardsley,/en/aubrey-beardsley,1872 - 1898,239
Basil Beattie,/en/basil-beattie,born 1935,20
Domenico Beccafumi,/en/domenico-beccafumi,c.1486 - 1551,87
Bernd and Hilla Becher,/en/bernd-und-hilla-becher,1959 - 2007,13
Rosemarie Beck,/en/rosemarie-beck,1923 - 2003,13
Max Beckmann,/en/max-beckmann,1884 - 1950,69
Joaquín Domínguez Bécquer,/en/joaquin-dominguez-becquer,c.1817 - 1879,22
Francesco Beda,/en/francesco-beda,1840 - 1900,8
Osias Beert,/en/osias-beert,c.1580 - 1624,12
Albrecht Behmel,/en/albrecht-behmel,born 1971,16
Hossein Behzad,/en/hossein-behzad,1894 - 1968,58
Xu Beihong,/en/xu-beihong,1895 - 1953,97
Antonio Cabral Bejarano,/en/antonio-cabral-bejarano,1798 - 1861,14
Ara Bekaryan,/en/ara-bekaryan,c.1913 - c.1986,3
Zdzislaw Beksinski,/en/zdzislaw-beksinski,1929 - 2005,707
Lorenzo Belenguer,/en/lorenzo-belenguer,born 1970,4
Charles Bell,/en/charles-bell,1935 - 1995,44
Graham Bell,/en/graham-bell,1910 - 1943,10
Larry Bell,/en/larry-bell,born 1939,47
Vanessa Bell,/en/vanessa-bell,1879 - 1961,26
Michael Bell,/en/michael-bell,born 1971,9
Gentile Bellini,/en/gentile-bellini,c.1429 - 1507,47
Giovanni Bellini,/en/giovanni-bellini,c.1430 - 1516,89
Jacopo Bellini,/en/jacopo-bellini,c.1400 - c.1470,40
Hans Bellmer,/en/hans-bellmer,1902 - 1975,121
Bernardo Bellotto,/en/bernardo-bellotto,c.1721 - 1780,101
George Bellows,/en/george-bellows,1882 - 1925,28
Kent Bellows,/en/kent-bellows,1949 - 2005,10
Achille Beltrame,/en/achille-beltrame,1871 - 1945,62
Aleksander Belyaev,/en/alexander-belyaev,born 1959,10
Ludwig Bemelmans,/en/ludwig-bemelmans,1898 - 1962,14
Ben,/en/ben,born 1935,24
Barton Lidice Benes,/en/barton-lidice-benes,1942 - 2012,17
Lynda Benglis,/en/lynda-benglis,born 1941,15
Karl Benjamin,/en/karl-benjamin,1925 - 2012,15
Benjamin Constant,/en/benjamin-constant,1845 - 1902,62
Martin Benka,/en/martin-benka,1888 - 1971,13
Mariano Benlliure,/en/mariano-benlliure,1862 - 1947,13
Jean Benner,/en/zhan-benner,1836 - c.1906,13
Albert Benois,/en/albert-benua,1852 - 1936,17
Alexandre Benois,/en/alexandre-benois,1870 - 1960,77
Marie-Guillemine Benoist,/en/marie-guillemine-benoist,1768 - 1826,12
Jean Benoit,/en/jean-benoit,1922 - 2010,18
Frank W. Benson,/en/frank-w-benson,1862 - 1951,103
Thomas Hart Benton,/en/thomas-hart-benton,1889 - 1975,61
Rudolf Bér,/en/rudolf-ber,1924 - 2004,17
Jean Béraud,/en/jean-beraud,1849 - 1935,17
Ambrogio Bergognone,/en/ambrogio-bergognone,c.1453 - 1523,61
Leon Berkowitz,/en/leon-berkowitz,1911 - 1987,31
Henryk Berlewi,/en/henryk-berlewi,1894 - 1967,12
Eduardo Berliner,/en/eduardo-berliner,born 1978,6
Bartolome Bermejo,/en/bartolome-bermejo,c.1440 - c.1501,13
Emile Bernard,/en/emile-bernard,1868 - 1941,18
Bernd Luz,/en/bernd-luz,born 1966,13
Horia Bernea,/en/horia-bernea,1938 - 2000,46
Antonio Berni,/en/antonio-berni,1905 - 1981,18
Gian Lorenzo Bernini,/en/gian-lorenzo-bernini,1598 - 1680,56
Jean Bertholle,/en/jean-bertholle,1909 - 1996,12
Rene Bertholo,/en/rene-bertholo,1935 - 2005,22
Huguette Arthur Bertrand,/en/huguette-arthur-bertrand,1920 - 2005,17
Raúl Berzosa,/en/raul-berzosa,born 1979,20
Paul-Albert Besnard,/en/paul-albert-besnard,1849 - 1934,94
Forrest Bess,/en/forrest-bess,1911 - 1977,41
Joseph Beuys,/en/joseph-beuys,1921 - 1986,22
Charles Bezie,/en/charles-bezie,born 1934,17
Jyoti Bhatt,/en/jyoti-bhatt,born 1934,23
Alberto Biasi,/en/alberto-biasi,born 1937,18
Ashley Bickerton,/en/ashley-bickerton,born 1959,15
Jean-Joseph-Xavier Bidauld,/en/jean-joseph-xavier-bidauld,1758 - 1846,44
Boleslas Biegas,/en/boleslas-biegas,1877 - 1954,17
Albert Bierstadt,/en/albert-bierstadt,1830 - 1902,339
